,cell,geometry
0,3955,"POLYGON ((-46.7303466796875 -23.54132717050546, -46.7303466796875 -23.54384513650584, -46.73309326171875 -23.54384513650584, -46.73309326171875 -23.54132717050546, -46.7303466796875 -23.54132717050546))"
1,18505,"POLYGON ((-46.71661376953125 -23.54384513650584, -46.71661376953125 -23.54636305429158, -46.7193603515625 -23.54636305429158, -46.7193603515625 -23.54384513650584, -46.71661376953125 -23.54384513650584))"
3,47652,"POLYGON ((-46.72760009765625 -23.54132717050546, -46.72760009765625 -23.54384513650584, -46.7303466796875 -23.54384513650584, -46.7303466796875 -23.54132717050546, -46.72760009765625 -23.54132717050546))"
4,56833,"POLYGON ((-46.7193603515625 -23.54384513650584, -46.7193603515625 -23.54888092385875, -46.724853515625 -23.54888092385875, -46.724853515625 -23.54384513650584, -46.7193603515625 -23.54384513650584))"
6,68676,"POLYGON ((-46.724853515625 -23.54384513650584, -46.724853515625 -23.54888092385875, -46.7303466796875 -23.54888092385875, -46.7303466796875 -23.54384513650584, -46.724853515625 -23.54384513650584))"
8,86100,"POLYGON ((-46.724853515625 -23.54132717050546, -46.724853515625 -23.54384513650584, -46.72760009765625 -23.54384513650584, -46.72760009765625 -23.54132717050546, -46.724853515625 -23.54132717050546))"
11,127553,"POLYGON ((-46.71661376953125 -23.54888092385875, -46.71661376953125 -23.55139874520341, -46.7193603515625 -23.55139874520341, -46.7193603515625 -23.54888092385875, -46.71661376953125 -23.54888092385875))"
12,148628,"POLYGON ((-46.724853515625 -23.54888092385875, -46.724853515625 -23.55391651832162, -46.7303466796875 -23.55391651832162, -46.7303466796875 -23.54888092385875, -46.724853515625 -23.54888092385875))"
14,200132,"POLYGON ((-46.7193603515625 -23.54888092385875, -46.7193603515625 -23.55391651832162, -46.724853515625 -23.55391651832162, -46.724853515625 -23.54888092385875, -46.7193603515625 -23.54888092385875))"
16,211037,"POLYGON ((-46.72760009765625 -23.53880915629439, -46.72760009765625 -23.54132717050546, -46.7303466796875 -23.54132717050546, -46.7303466796875 -23.53880915629439, -46.72760009765625 -23.53880915629439))"
17,217324,"POLYGON ((-46.7303466796875 -23.54384513650584, -46.7303466796875 -23.54888092385875, -46.73583984375 -23.54888092385875, -46.73583984375 -23.54384513650584, -46.7303466796875 -23.54384513650584))"
20,240236,"POLYGON ((-46.71661376953125 -23.54636305429158, -46.71661376953125 -23.54888092385875, -46.7193603515625 -23.54888092385875, -46.7193603515625 -23.54636305429158, -46.71661376953125 -23.54636305429158))"
